måned,skjoldskiftet
2008-06,837
2008-07,539
2008-08,793
2008-09,767
2008-10,448
2008-11,259
2008-12,144
2009-01,194
2009-02,149
2009-03,373
2009-04,722
2009-05,827
2009-06,980
2009-07,629
2009-08,782
2009-09,655
2009-10,475
2009-11,369
2009-12,192
2010-01,48
2010-02,54
2010-03,181
2010-04,745
2010-05,956
2010-06,966
2010-07,558
2010-08,906
2010-09,803
2010-10,411
2010-11,262
2010-12,81
2011-01,122
2011-02,182
2011-03,294
2011-04,528
2011-05,706
2011-06,635
2011-07,412
2011-08,616
2013-07,579
2013-08,727
2013-09,563
2013-10,426
2013-11,246
2013-12,156
2014-01,275
2014-02,267
2014-03,442
2014-04,612
2014-05,814
2014-06,863
2014-07,536
2014-08,769
2014-09,748
2014-10,475
2014-11,377
2014-12,155
2015-01,195
2015-02,209
2015-03,382
2015-04,598
2015-05,658
2015-06,722
2015-07,512
2015-08,817
2015-09,797
2015-10,533
2015-11,356
2015-12,191
2016-01,189
2016-02,210
2016-03,319
2016-04,720
2016-05,865
2016-06,920
2016-07,486
2016-08,737
2016-09,788
2016-10,555
2016-11,302
2016-12,225